Plot,L_D,date,start,end,TubeL,SafetyC,ChamberH,ChamberD
B1_1,Light,22/09/2021,105230,105430,560,0,40,16
B2_1,Light,22/09/2021,105745,105945,560,0,40,16
B1_2,Light,22/09/2021,171630,171830,560,0,40,16
B2_2,Light,22/09/2021,172045,172245,560,0,40,16
B3,Light,22/09/2021,172430,172630,560,0,40,16
B4,Light,22/09/2021,172900,173100,560,0,40,16
B5,Light,22/09/2021,173330,173530,560,0,40,16
B6,Light,22/09/2021,173800,174000,560,0,40,16
B7,Light,22/09/2021,174300,174500,560,0,40,16
B8,Light,22/09/2021,174700,174900,560,0,40,16
B9,Light,22/09/2021,175200,175400,560,0,40,16
B10,Light,22/09/2021,175650,175850,560,0,40,16
B11,Light,22/09/2021,180200,180400,560,0,40,16
B12,Light,22/09/2021,180830,181030,560,0,40,16
C1_1,Light,22/09/2021,110900,111100,560,0,40,16
C1_2,Light,22/09/2021,171200,171400,560,0,40,16
C2,Light,22/09/2021,162845,163045,560,0,40,16
C3,Light,22/09/2021,163430,163630,560,0,40,16
C4,Light,22/09/2021,163900,164100,560,0,40,16
C5,Light,22/09/2021,164400,164600,560,0,40,16
C6,Light,22/09/2021,164915,165115,560,0,40,16
C7,Light,22/09/2021,165400,165600,560,0,40,16
C8,Light,22/09/2021,165900,170100,560,0,40,16
C9,Light,22/09/2021,170330,170530,560,0,40,16
A1,Light,22/09/2021,103030,103230,560,0,40,16
A2,Light,22/09/2021,103800,104000,560,0,40,16
A3,Light,22/09/2021,104515,104715,560,0,40,16
