dt,temp,time,date
9/22/2021 0:00,11.2,00:00:00,2021-09-22
9/22/2021 0:15,11.2,00:15:00,2021-09-22
9/22/2021 0:30,10.8,00:30:00,2021-09-22
9/22/2021 0:45,10.2,00:45:00,2021-09-22
9/22/2021 1:00,11.1,01:00:00,2021-09-22
9/22/2021 1:15,11.8,01:15:00,2021-09-22
9/22/2021 1:30,11.7,01:30:00,2021-09-22
9/22/2021 1:45,11.6,01:45:00,2021-09-22
9/22/2021 2:00,11.5,02:00:00,2021-09-22
9/22/2021 2:15,11.3,02:15:00,2021-09-22
9/22/2021 2:30,11.7,02:30:00,2021-09-22
9/22/2021 2:45,11.5,02:45:00,2021-09-22
9/22/2021 3:00,11,03:00:00,2021-09-22
9/22/2021 3:15,11.1,03:15:00,2021-09-22
9/22/2021 3:30,11.7,03:30:00,2021-09-22
9/22/2021 3:45,12,03:45:00,2021-09-22
9/22/2021 4:00,11.9,04:00:00,2021-09-22
9/22/2021 4:15,12.2,04:15:00,2021-09-22
9/22/2021 4:30,12.3,04:30:00,2021-09-22
9/22/2021 4:45,11.7,04:45:00,2021-09-22
9/22/2021 5:00,11.4,05:00:00,2021-09-22
9/22/2021 5:15,11.4,05:15:00,2021-09-22
9/22/2021 5:30,12,05:30:00,2021-09-22
9/22/2021 5:45,12,05:45:00,2021-09-22
9/22/2021 6:00,11.7,06:00:00,2021-09-22
9/22/2021 6:15,11.3,06:15:00,2021-09-22
9/22/2021 6:30,10.9,06:30:00,2021-09-22
9/22/2021 6:45,10.8,06:45:00,2021-09-22
9/22/2021 7:00,10.3,07:00:00,2021-09-22
9/22/2021 7:15,10,07:15:00,2021-09-22
9/22/2021 7:30,10.4,07:30:00,2021-09-22
9/22/2021 7:45,11.1,07:45:00,2021-09-22
9/22/2021 8:00,11.4,08:00:00,2021-09-22
9/22/2021 8:15,11.5,08:15:00,2021-09-22
9/22/2021 8:30,12,08:30:00,2021-09-22
9/22/2021 8:45,13.1,08:45:00,2021-09-22
9/22/2021 9:00,14.3,09:00:00,2021-09-22
9/22/2021 9:15,15.7,09:15:00,2021-09-22
9/22/2021 9:30,16.9,09:30:00,2021-09-22
9/22/2021 9:45,17,09:45:00,2021-09-22
9/22/2021 10:00,17.3,10:00:00,2021-09-22
9/22/2021 10:15,18,10:15:00,2021-09-22
9/22/2021 10:30,18.2,10:30:00,2021-09-22
9/22/2021 10:45,18.1,10:45:00,2021-09-22
9/22/2021 11:00,18.2,11:00:00,2021-09-22
9/22/2021 11:15,18.6,11:15:00,2021-09-22
9/22/2021 11:30,18.9,11:30:00,2021-09-22
9/22/2021 11:45,19.4,11:45:00,2021-09-22
9/22/2021 12:00,19.9,12:00:00,2021-09-22
9/22/2021 12:15,19.9,12:15:00,2021-09-22
9/22/2021 12:30,20,12:30:00,2021-09-22
9/22/2021 12:45,19.9,12:45:00,2021-09-22
9/22/2021 13:00,19.8,13:00:00,2021-09-22
9/22/2021 13:15,19.9,13:15:00,2021-09-22
9/22/2021 13:30,20.2,13:30:00,2021-09-22
9/22/2021 13:45,20.2,13:45:00,2021-09-22
9/22/2021 14:00,20.2,14:00:00,2021-09-22
9/22/2021 14:15,20.2,14:15:00,2021-09-22
9/22/2021 14:30,20.1,14:30:00,2021-09-22
9/22/2021 14:45,19.5,14:45:00,2021-09-22
9/22/2021 15:00,19.2,15:00:00,2021-09-22
9/22/2021 15:15,19.4,15:15:00,2021-09-22
9/22/2021 15:30,19.5,15:30:00,2021-09-22
9/22/2021 15:45,19.4,15:45:00,2021-09-22
9/22/2021 16:00,19.2,16:00:00,2021-09-22
9/22/2021 16:15,19.2,16:15:00,2021-09-22
9/22/2021 16:30,19.2,16:30:00,2021-09-22
9/22/2021 16:45,19.1,16:45:00,2021-09-22
9/22/2021 17:00,19,17:00:00,2021-09-22
9/22/2021 17:15,18.9,17:15:00,2021-09-22
9/22/2021 17:30,18.7,17:30:00,2021-09-22
9/22/2021 17:45,18.5,17:45:00,2021-09-22
9/22/2021 18:00,18.3,18:00:00,2021-09-22
9/22/2021 18:15,18,18:15:00,2021-09-22
9/22/2021 18:30,17.8,18:30:00,2021-09-22
9/22/2021 18:45,17.4,18:45:00,2021-09-22
9/22/2021 19:00,17.2,19:00:00,2021-09-22
9/22/2021 19:15,16.9,19:15:00,2021-09-22
9/22/2021 19:30,16.6,19:30:00,2021-09-22
9/22/2021 19:45,16.4,19:45:00,2021-09-22
9/22/2021 20:00,16.2,20:00:00,2021-09-22
9/22/2021 20:15,16.3,20:15:00,2021-09-22
9/22/2021 20:30,16.2,20:30:00,2021-09-22
9/22/2021 20:45,16.3,20:45:00,2021-09-22
9/22/2021 21:00,16.5,21:00:00,2021-09-22
9/22/2021 21:15,16.4,21:15:00,2021-09-22
9/22/2021 21:30,16.4,21:30:00,2021-09-22
9/22/2021 21:45,16.3,21:45:00,2021-09-22
9/22/2021 22:00,16.3,22:00:00,2021-09-22
9/22/2021 22:15,16.3,22:15:00,2021-09-22
9/22/2021 22:30,16.3,22:30:00,2021-09-22
9/22/2021 22:45,16.1,22:45:00,2021-09-22
9/22/2021 23:00,16.2,23:00:00,2021-09-22
9/22/2021 23:15,16.4,23:15:00,2021-09-22
9/22/2021 23:30,16.4,23:30:00,2021-09-22
9/22/2021 23:45,16.5,23:45:00,2021-09-22
9/23/2021 0:00,16.5,00:00:00,2021-09-23
